contrast-1-0,correlation-1-0,dissimilarity-1-0,contrast-1-45,correlation-1-45,dissimilarity-1-45,contrast-1-90,correlation-1-90,dissimilarity-1-90,contrast-1-135,correlation-1-135,dissimilarity-1-135,Class
9.97178831,0.99775152,1.1595448,19.94636024,0.99550883,1.55851215,15.331561,0.99654444,1.27531177,21.01819541,0.9952675,1.5675577,1
7.47315753,0.99800894,0.98956501,16.50569717,0.99560866,1.36803596,10.02001404,0.99733158,1.01864814,15.18306089,0.99596055,1.32896412,1
9.07015412,0.9976519,1.09692138,18.59418056,0.99519312,1.44423068,11.19628967,0.99710271,1.06725753,16.41651262,0.99575608,1.38918667,1
8.58339504,0.99752753,1.06013762,20.48516263,0.99410767,1.44958886,13.79395604,0.99602853,1.12022318,17.40574797,0.99499343,1.40213207,1
3.61849332,0.9990164,0.76031735,9.67053174,0.9973751,1.10167216,6.57548964,0.9982134,0.84093908,9.1742703,0.9975098,1.06043889,1
8.96489594,0.99778707,1.12880103,20.72174545,0.99489225,1.50804983,14.49423733,0.99642378,1.18447301,18.84579101,0.99535465,1.48974239,1
10.38655929,0.99746313,1.17546052,26.91830223,0.99343461,1.75182196,20.1813592,0.99507301,1.42347628,26.63232718,0.99350436,1.738836,1
9.74167669,0.99705273,1.10814511,18.52504573,0.99440348,1.4480127,13.95783044,0.99577898,1.14070796,19.92098904,0.99398176,1.43838961,1
12.34778534,0.99629792,1.22542349,22.40797314,0.99329151,1.59206935,16.48286633,0.99506038,1.27001983,23.03332155,0.99310429,1.5951927,1
10.1505581,0.99743982,1.1325307,18.49126253,0.99534293,1.51074244,12.24150165,0.99691375,1.18661062,18.09846962,0.99544186,1.49085111,1
9.77435666,0.99719748,1.07280385,22.29207688,0.99361752,1.46447163,17.92356888,0.99486319,1.18198041,24.13132373,0.99309093,1.46286842,1
11.41009635,0.99684504,1.15538315,23.33543295,0.99355702,1.58069239,15.48779942,0.99571941,1.22976602,21.09563793,0.99417543,1.52613514,1
12.35761864,0.99673132,1.18438744,27.84038261,0.99264674,1.62976012,21.28136768,0.99437339,1.3000274,28.15931607,0.9925625,1.61064528,1
10.11511463,0.99669839,1.20385155,20.03784143,0.99346905,1.58113665,14.89373109,0.99514069,1.24487398,19.6827895,0.99358477,1.55182118,1
11.86914707,0.99666751,1.27072534,25.45194925,0.99286423,1.67619704,19.02873812,0.99465951,1.36371388,24.12204638,0.99323709,1.68584718,1
11.92878907,0.99662089,1.2488352,23.94331415,0.99322719,1.64439564,16.71999823,0.99526555,1.29884669,22.28413812,0.99369651,1.60758181,1
5.69836504,0.99797418,0.9278499,14.11399559,0.9949897,1.28367841,10.70513528,0.99619587,1.01236843,14.05078296,0.99501214,1.29932801,1
5.22974714,0.99830281,0.90258879,15.36792972,0.99501964,1.41559706,12.11229589,0.99607116,1.17947625,15.42541524,0.99500101,1.40554709,1
5.57048775,0.99818658,0.90841857,16.4019872,0.99466835,1.33708058,12.95570441,0.9957842,1.06570256,15.85142734,0.99484732,1.29506503,1
6.39701935,0.99799304,0.99402172,16.02458891,0.99497979,1.37502052,12.23636213,0.99616263,1.07330959,15.94135554,0.99500586,1.36782542,1
5.67969353,0.99789192,0.89080001,14.3122734,0.99469565,1.28092978,11.34130178,0.99579245,1.0109948,15.19234788,0.99436948,1.2427426,1
7.61679047,0.99824749,1.01620113,19.25455223,0.99557616,1.4749562,13.66854126,0.99685635,1.18677267,17.65955269,0.99594262,1.43638271,1
7.54028781,0.99770718,0.94661398,16.94899104,0.99485373,1.32383579,15.33069476,0.99534042,1.06974819,22.04761325,0.99330561,1.34131459,1
5.36923385,0.99844905,1.00919883,14.50766738,0.99581499,1.43735622,10.47606572,0.9969752,1.12187461,13.31781895,0.99615822,1.41865474,1
6.19162308,0.99798476,0.99063725,16.34488993,0.9946876,1.41120273,14.61034734,0.99524675,1.13606811,19.18679461,0.99376393,1.41058656,1
7.29718211,0.9979089,1.09911599,18.50612019,0.99470423,1.52012602,14.37653761,0.99588196,1.2115211,18.60815355,0.99467503,1.54082088,1
5.32918904,0.99810252,0.8819753,11.59167338,0.99587865,1.26439166,10.13308163,0.99639366,1.01892016,14.85605345,0.99471802,1.26329453,1
9.67981695,0.99704944,1.12579646,17.50812709,0.99467067,1.42973617,11.58646901,0.9964697,1.07737452,18.15517478,0.99447371,1.44275689,1
11.50536888,0.99642469,1.23302555,19.89624947,0.99382594,1.59429452,14.04960875,0.99563584,1.24641931,20.6528424,0.99359116,1.57818907,1
13.97446697,0.99580845,1.32914083,31.60143554,0.99053484,1.88996993,23.97469016,0.99281182,1.53650721,29.29444692,0.99122582,1.82185883,1
